fecha,hora,parametro,value
2023-11-06,04:05,power_2,1.311672
2023-11-06,05:05,power_2,1.516802
2023-11-06,06:05,power_2,1.457916
2023-11-06,07:05,power_2,1.641369
2023-11-06,08:05,power_2,1.788261
2023-11-06,09:05,power_2,1.824175
2023-11-06,10:05,power_2,1.768524
2023-11-06,11:05,power_2,1.809939
2023-11-06,12:05,power_2,1.587336
2023-11-06,13:05,power_2,1.572453
2023-11-06,14:05,power_2,1.619368
2023-11-06,15:05,power_2,1.395471
2023-11-06,16:05,power_2,1.35438
2023-11-06,17:05,power_2,1.381558
2023-11-06,18:05,power_2,1.509037
2023-11-06,19:05,power_2,1.4728
2023-11-06,20:05,power_2,1.513567
2023-11-06,21:05,power_2,1.386735
2023-11-06,22:05,power_2,1.517773
2023-11-06,23:05,power_2,1.26961
2023-11-07,00:05,power_2,1.197782
2023-11-07,01:05,power_2,2.386505
2023-11-07,02:05,power_2,1.322996
2023-11-07,03:05,power_2,1.412943
2023-11-07,04:05,power_2,2.586782
2023-11-07,05:05,power_2,2.53372
2023-11-07,06:05,power_2,2.068779
2023-11-07,07:05,power_2,1.444004
2023-11-07,08:05,power_2,1.600602
2023-11-07,09:05,power_2,1.560158
2023-11-07,10:05,power_2,1.70252
2023-11-07,11:05,power_2,1.642663
2023-11-07,12:05,power_2,1.713844
2023-11-07,13:05,power_2,1.72161
2023-11-07,14:05,power_2,1.575365
2023-11-07,15:05,power_2,1.359557
2023-11-07,16:05,power_2,1.415531
2023-11-07,17:05,power_2,1.296141
2023-11-07,18:05,power_2,1.305201
2023-11-07,19:05,power_2,1.345321
2023-11-07,20:05,power_2,1.310054
2023-11-07,21:05,power_2,1.380588
2023-11-07,22:05,power_2,2.626579
2023-11-07,23:05,power_2,2.513336
2023-11-08,00:05,power_2,2.461892
2023-11-08,01:05,power_2,2.618167
2023-11-08,02:05,power_2,2.574487
2023-11-08,03:05,power_2,2.325354
2023-11-08,04:05,power_2,2.763117
2023-11-08,05:05,power_2,2.60846
2023-11-08,06:05,power_2,2.489717
2023-11-08,07:05,power_2,1.487359
2023-11-08,08:05,power_2,1.440121
2023-11-08,09:05,power_2,1.600278
2023-11-08,10:05,power_2,1.58863
2023-11-08,11:05,power_2,1.679872
2023-11-08,12:05,power_2,1.686666
2023-11-08,13:05,power_2,1.54851
2023-11-08,14:05,power_2,1.540745
2023-11-08,15:05,power_2,1.415208
2023-11-08,16:05,power_2,1.446916
2023-11-08,17:05,power_2,1.376058
2023-11-08,18:05,power_2,1.523273
2023-11-08,19:05,power_2,1.506125
2023-11-08,20:05,power_2,2.527896
2023-11-08,21:05,power_2,2.279733
2023-11-08,22:05,power_2,1.506449
2023-11-08,23:05,power_2,1.545922
2023-11-09,00:05,power_2,1.488006
2023-11-09,01:05,power_2,2.3095
2023-11-09,02:05,power_2,2.649227
2023-11-09,03:05,power_2,2.203699
2023-11-09,04:05,power_2,2.387475
2023-11-09,15:06,power_2,1.445621
2023-11-09,16:06,power_2,1.541392
2023-11-09,17:24,power_2,1.321055
2023-11-09,18:24,power_2,2.401712
2023-11-09,19:24,power_2,2.387152
2023-11-09,20:24,power_2,2.690965
2023-11-09,21:24,power_2,2.473863
2023-11-09,22:24,power_2,2.561869
2023-11-09,23:24,power_2,2.431802
2023-11-10,00:24,power_2,2.624961
2023-11-10,01:28,power_2,2.363533
2023-11-10,02:28,power_2,2.348326
2023-11-10,03:28,power_2,2.338943
2023-11-10,04:28,power_2,2.021217
2023-11-10,05:28,power_2,2.06069
2023-11-10,06:28,power_2,2.496835
2023-11-10,07:28,power_2,1.44821
2023-11-10,08:28,power_2,1.462446
2023-11-10,09:28,power_2,1.519391
2023-11-10,10:28,power_2,1.686019
2023-11-10,11:28,power_2,1.750406
2023-11-10,12:28,power_2,1.629398
2023-11-10,13:28,power_2,1.821263
2023-11-10,14:28,power_2,1.439474
2023-11-10,15:28,power_2,1.384147
2023-11-10,16:28,power_2,1.328173
2023-11-10,17:28,power_2,1.300995
2023-11-10,18:28,power_2,1.285141
2023-11-10,19:28,power_2,1.364734
2023-11-10,20:28,power_2,1.663694
2023-11-10,21:28,power_2,1.631339
2023-11-10,22:28,power_2,1.36344
2023-11-10,23:28,power_2,2.447979
2023-11-11,00:28,power_2,2.359327
2023-11-11,01:28,power_2,2.48357
2023-11-11,02:28,power_2,2.475157
2023-11-11,03:28,power_2,1.975273
2023-11-11,04:28,power_2,1.832264
2023-11-11,05:28,power_2,2.308853
2023-11-11,06:28,power_2,2.606519
2023-11-11,07:28,power_2,2.678023
2023-11-11,08:28,power_2,1.495772
2023-11-11,09:28,power_2,1.487359
2023-11-11,10:28,power_2,1.4728
2023-11-11,11:28,power_2,1.494801
2023-11-11,12:28,power_2,1.533627
2023-11-11,13:28,power_2,1.544628
2023-11-11,14:28,power_2,1.576659
2023-11-11,15:28,power_2,1.457916
2023-11-11,16:28,power_2,1.335291
2023-11-11,17:28,power_2,1.311348
2023-11-11,18:28,power_2,1.336909
2023-11-11,19:28,power_2,1.451445
2023-11-11,20:28,power_2,1.462122
2023-11-11,21:28,power_2,1.309083
2023-11-11,22:28,power_2,1.419414
2023-11-11,23:28,power_2,1.46374
2023-11-12,00:28,power_2,1.425238
2023-11-12,01:28,power_2,1.485418
2023-11-12,02:28,power_2,2.748557
2023-11-12,03:28,power_2,2.47904
2023-11-12,04:28,power_2,2.540191
2023-11-12,05:28,power_2,1.655929
2023-11-12,06:28,power_2,1.658517
2023-11-12,07:28,power_2,1.72161
2023-11-12,08:28,power_2,1.7517
